Fund,ISIN,Index,Sector,Allocation
Vanguard ESG Global All Cap UCITS ETF (USD) Accumulating,IE00BNG8L278,FTSE Global All Cap Choice,Consumer Discretionary,12.31
Vanguard ESG Global All Cap UCITS ETF (USD) Accumulating,IE00BNG8L278,FTSE Global All Cap Choice,Health Care,10.61
Vanguard ESG Global All Cap UCITS ETF (USD) Distributing,IE00BNG8L385,FTSE Global All Cap Choice,Other,31.73
Vanguard ESG Global All Cap UCITS ETF (USD) Distributing,IE00BNG8L385,FTSE Global All Cap Choice,Technology,29.41
Vanguard ESG Global All Cap UCITS ETF (USD) Distributing,IE00BNG8L385,FTSE Global All Cap Choice,Financials,15.94
Vanguard ESG Global All Cap UCITS ETF (USD) Distributing,IE00BNG8L385,FTSE Global All Cap Choice,Consumer Discretionary,12.31
Vanguard ESG Global All Cap UCITS ETF (USD) Distributing,IE00BNG8L385,FTSE Global All Cap Choice,Health Care,10.61
iShares Global Infrastructure UCITS ETF,IE00B1FZS467,FTSE Global Core Infrastructure,Utilities,54.14
iShares Global Infrastructure UCITS ETF,IE00B1FZS467,FTSE Global Core Infrastructure,Industrials,18.93
iShares Global Infrastructure UCITS ETF,IE00B1FZS467,FTSE Global Core Infrastructure,Energy,15.94
iShares Global Infrastructure UCITS ETF,IE00B1FZS467,FTSE Global Core Infrastructure,Other,5.57
iShares Global Infrastructure UCITS ETF,IE00B1FZS467,FTSE Global Core Infrastructure,Real Estate,5.42
Vanguard FTSE Japan UCITS ETF Distributing,IE00B95PGT31,FTSE Japan,Other,32.52
Vanguard FTSE Japan UCITS ETF Distributing,IE00B95PGT31,FTSE Japan,Industrials,23.27
Vanguard FTSE Japan UCITS ETF Distributing,IE00B95PGT31,FTSE Japan,Consumer Discretionary,17.41
Vanguard FTSE Japan UCITS ETF Distributing,IE00B95PGT31,FTSE Japan,Financials,14.13
Vanguard FTSE Japan UCITS ETF Distributing,IE00B95PGT31,FTSE Japan,Technology,12.67
Vanguard FTSE Japan UCITS ETF Accumulating,IE00BFMXYX26,FTSE Japan,Other,32.52
Vanguard FTSE Japan UCITS ETF Accumulating,IE00BFMXYX26,FTSE Japan,Industrials,23.27
Vanguard FTSE Japan UCITS ETF Accumulating,IE00BFMXYX26,FTSE Japan,Consumer Discretionary,17.41
Vanguard FTSE Japan UCITS ETF Accumulating,IE00BFMXYX26,FTSE Japan,Financials,14.13
Vanguard FTSE Japan UCITS ETF Accumulating,IE00BFMXYX26,FTSE Japan,Technology,12.67
Amundi FTSE MIB UCITS ETF Dist,FR0010010827,FTSE MIB,Financials,41.43
Amundi FTSE MIB UCITS ETF Dist,FR0010010827,FTSE MIB,Consumer Discretionary,18.23
Amundi FTSE MIB UCITS ETF Dist,FR0010010827,FTSE MIB,Other,17.37
Amundi FTSE MIB UCITS ETF Dist,FR0010010827,FTSE MIB,Utilities,16.32
Amundi FTSE MIB UCITS ETF Dist,FR0010010827,FTSE MIB,Industrials,6.65
iShares FTSE MIB UCITS ETF EUR (Dist),IE00B1XNH568,FTSE MIB,Financials,41.38
iShares FTSE MIB UCITS ETF EUR (Dist),IE00B1XNH568,FTSE MIB,Consumer Discretionary,18.12
iShares FTSE MIB UCITS ETF EUR (Dist),IE00B1XNH568,FTSE MIB,Other,17.55
iShares FTSE MIB UCITS ETF EUR (Dist),IE00B1XNH568,FTSE MIB,Utilities,16.35
iShares FTSE MIB UCITS ETF EUR (Dist),IE00B1XNH568,FTSE MIB,Industrials,6.6
iShares FTSE MIB UCITS ETF (Acc),IE00B53L4X51,FTSE MIB,Financials,41.41
iShares FTSE MIB UCITS ETF (Acc),IE00B53L4X51,FTSE MIB,Consumer Discretionary,18.15
iShares FTSE MIB UCITS ETF (Acc),IE00B53L4X51,FTSE MIB,Other,17.47
iShares FTSE MIB UCITS ETF (Acc),IE00B53L4X51,FTSE MIB,Utilities,16.36
iShares FTSE MIB UCITS ETF (Acc),IE00B53L4X51,FTSE MIB,Industrials,6.61
Xtrackers FTSE MIB UCITS ETF 1D,LU0274212538,FTSE MIB,Financials,41.47
Xtrackers FTSE MIB UCITS ETF 1D,LU0274212538,FTSE MIB,Consumer Discretionary,18.16
Xtrackers FTSE MIB UCITS ETF 1D,LU0274212538,FTSE MIB,Other,17.37
Xtrackers FTSE MIB UCITS ETF 1D,LU0274212538,FTSE MIB,Utilities,16.38
Xtrackers FTSE MIB UCITS ETF 1D,LU0274212538,FTSE MIB,Industrials,6.62
Amundi ETF FTSE MIB UCITS ETF,LU1681037518,FTSE MIB,Financials,41.96
Amundi ETF FTSE MIB UCITS ETF,LU1681037518,FTSE MIB,Other,19.57
Amundi ETF FTSE MIB UCITS ETF,LU1681037518,FTSE MIB,Utilities,18.54
Amundi ETF FTSE MIB UCITS ETF,LU1681037518,FTSE MIB,Consumer Discretionary,11.42
Amundi ETF FTSE MIB UCITS ETF,LU1681037518,FTSE MIB,Energy,8.51
Vanguard FTSE North America UCITS ETF (USD) Accumulating,IE00BK5BQW10,FTSE North America,Other,34.61
Vanguard FTSE North America UCITS ETF (USD) Accumulating,IE00BK5BQW10,FTSE North America,Technology,32.62
Vanguard FTSE North America UCITS ETF (USD) Accumulating,IE00BK5BQW10,FTSE North America,Financials,12.23
Vanguard FTSE North America UCITS ETF (USD) Accumulating,IE00BK5BQW10,FTSE North America,Consumer Discretionary,10.57
Vanguard FTSE North America UCITS ETF (USD) Accumulating,IE00BK5BQW10,FTSE North America,Health Care,9.97
Vanguard FTSE North America UCITS ETF Distributing,IE00BKX55R35,FTSE North America,Other,34.61
Vanguard FTSE North America UCITS ETF Distributing,IE00BKX55R35,FTSE North America,Technology,32.62
Vanguard FTSE North America UCITS ETF Distributing,IE00BKX55R35,FTSE North America,Financials,12.23
Vanguard FTSE North America UCITS ETF Distributing,IE00BKX55R35,FTSE North America,Consumer Discretionary,10.57
Vanguard FTSE North America UCITS ETF Distributing,IE00BKX55R35,FTSE North America,Health Care,9.97
iShares UK Dividend UCITS ETF,IE00B0M63060,FTSE UK Dividend+,Other,34.98
iShares UK Dividend UCITS ETF,IE00B0M63060,FTSE UK Dividend+,Financials,30.14
iShares UK Dividend UCITS ETF,IE00B0M63060,FTSE UK Dividend+,Consumer Staples,15.92
iShares UK Dividend UCITS ETF,IE00B0M63060,FTSE UK Dividend+,Telecommunication,9.9
iShares UK Dividend UCITS ETF,IE00B0M63060,FTSE UK Dividend+,Utilities,9.06
L&G Cyber Security UCITS ETF,IE00BYPLS672,ISE Cyber Security,Technology,94.12
L&G Cyber Security UCITS ETF,IE00BYPLS672,ISE Cyber Security,Telecommunication,5.02
L&G Cyber Security UCITS ETF,IE00BYPLS672,ISE Cyber Security,Industrials,0.76
iShares Automation & Robotics UCITS ETF,IE00BYWZ0333,iSTOXX FactSet Automation & Robotics,Technology,71.09
iShares Automation & Robotics UCITS ETF,IE00BYWZ0333,iSTOXX FactSet Automation & Robotics,Industrials,22.4
iShares Automation & Robotics UCITS ETF,IE00BYWZ0333,iSTOXX FactSet Automation & Robotics,Consumer Discretionary,2.73
iShares Automation & Robotics UCITS ETF,IE00BYWZ0333,iSTOXX FactSet Automation & Robotics,Health Care,2.69
iShares Automation & Robotics UCITS ETF,IE00BYWZ0333,iSTOXX FactSet Automation & Robotics,Other,1.09
iShares Automation & Robotics UCITS ETF,IE00BYZK4552,iSTOXX FactSet Automation & Robotics,Technology,71.09
iShares Automation & Robotics UCITS ETF,IE00BYZK4552,iSTOXX FactSet Automation & Robotics,Industrials,22.4
iShares Automation & Robotics UCITS ETF,IE00BYZK4552,iSTOXX FactSet Automation & Robotics,Consumer Discretionary,2.73
iShares Automation & Robotics UCITS ETF,IE00BYZK4552,iSTOXX FactSet Automation & Robotics,Health Care,2.69
iShares Automation & Robotics UCITS ETF,IE00BYZK4552,iSTOXX FactSet Automation & Robotics,Other,1.09
JPMorgan Global Equity Multi-Factor UCITS ETF Accumulating,IE00BJRCLL96,JP Morgan Diversified Factor Global Developed (Region Aware) Equity,Other,57.5
JPMorgan Global Equity Multi-Factor UCITS ETF Accumulating,IE00BJRCLL96,JP Morgan Diversified Factor Global Developed (Region Aware) Equity,Health Care,11.57
JPMorgan Global Equity Multi-Factor UCITS ETF Accumulating,IE00BJRCLL96,JP Morgan Diversified Factor Global Developed (Region Aware) Equity,Financials,10.9
JPMorgan Global Equity Multi-Factor UCITS ETF Accumulating,IE00BJRCLL96,JP Morgan Diversified Factor Global Developed (Region Aware) Equity,Consumer Staples,10.33
JPMorgan Global Equity Multi-Factor UCITS ETF Accumulating,IE00BJRCLL96,JP Morgan Diversified Factor Global Developed (Region Aware) Equity,Industrials,9.7
Xtrackers JPX-Nikkei 400 UCITS ETF 1D,IE00BPVLQD13,JPX-Nikkei 400,Other,27.12
Xtrackers JPX-Nikkei 400 UCITS ETF 1D,IE00BPVLQD13,JPX-Nikkei 400,Industrials,22.14
Xtrackers JPX-Nikkei 400 UCITS ETF 1D,IE00BPVLQD13,JPX-Nikkei 400,Consumer Discretionary,19.8
Xtrackers JPX-Nikkei 400 UCITS ETF 1D,IE00BPVLQD13,JPX-Nikkei 400,Financials,16.45
Xtrackers JPX-Nikkei 400 UCITS ETF 1D,IE00BPVLQD13,JPX-Nikkei 400,Technology,14.49
Lyxor MSCI Japan ESG Leaders Extra (DR) UCITS ETF - Acc,LU1646359452,JPX-Nikkei 400,Other,34.16
Lyxor MSCI Japan ESG Leaders Extra (DR) UCITS ETF - Acc,LU1646359452,JPX-Nikkei 400,Industrials,21.3
Lyxor MSCI Japan ESG Leaders Extra (DR) UCITS ETF - Acc,LU1646359452,JPX-Nikkei 400,Consumer Discretionary,18.09
Lyxor MSCI Japan ESG Leaders Extra (DR) UCITS ETF - Acc,LU1646359452,JPX-Nikkei 400,Technology,13.6
Lyxor MSCI Japan ESG Leaders Extra (DR) UCITS ETF - Acc,LU1646359452,JPX-Nikkei 400,Health Care,12.85
Xtrackers JPX-Nikkei 400 UCITS ETF 3C EUR hedged,IE00BRB36B93,JPX-Nikkei 400 Daily (EUR Hedged),Other,27.12
Xtrackers JPX-Nikkei 400 UCITS ETF 3C EUR hedged,IE00BRB36B93,JPX-Nikkei 400 Daily (EUR Hedged),Industrials,22.14
Xtrackers JPX-Nikkei 400 UCITS ETF 3C EUR hedged,IE00BRB36B93,JPX-Nikkei 400 Daily (EUR Hedged),Consumer Discretionary,19.8
Xtrackers JPX-Nikkei 400 UCITS ETF 3C EUR hedged,IE00BRB36B93,JPX-Nikkei 400 Daily (EUR Hedged),Financials,16.45
Xtrackers JPX-Nikkei 400 UCITS ETF 3C EUR hedged,IE00BRB36B93,JPX-Nikkei 400 Daily (EUR Hedged),Technology,14.49
Lyxor MSCI Japan ESG Leaders Extra (DR) UCITS ETF - Daily Hedged to EUR - Acc,LU1646359965,JPX-Nikkei 400 Daily (EUR Hedged),Other,34.16
Lyxor MSCI Japan ESG Leaders Extra (DR) UCITS ETF - Daily Hedged to EUR - Acc,LU1646359965,JPX-Nikkei 400 Daily (EUR Hedged),Industrials,21.3
Lyxor MSCI Japan ESG Leaders Extra (DR) UCITS ETF - Daily Hedged to EUR - Acc,LU1646359965,JPX-Nikkei 400 Daily (EUR Hedged),Consumer Discretionary,18.09
Lyxor MSCI Japan ESG Leaders Extra (DR) UCITS ETF - Daily Hedged to EUR - Acc,LU1646359965,JPX-Nikkei 400 Daily (EUR Hedged),Technology,13.6
Lyxor MSCI Japan ESG Leaders Extra (DR) UCITS ETF - Daily Hedged to EUR - Acc,LU1646359965,JPX-Nikkei 400 Daily (EUR Hedged),Health Care,12.85
Franklin Emerging Markets UCITS ETF,IE00BF2B0K52,LibertyQ Emerging Markets,Other,40.87
Franklin Emerging Markets UCITS ETF,IE00BF2B0K52,LibertyQ Emerging Markets,Financials,22.31
Franklin Emerging Markets UCITS ETF,IE00BF2B0K52,LibertyQ Emerging Markets,Energy,14.12
Franklin Emerging Markets UCITS ETF,IE00BF2B0K52,LibertyQ Emerging Markets,Technology,11.47
Franklin Emerging Markets UCITS ETF,IE00BF2B0K52,LibertyQ Emerging Markets,Consumer Staples,11.23
VanEck Defense UCITS ETF A,IE000YYE6WK5,MarketVector Global Defense Industry,Industrials,83.51
VanEck Defense UCITS ETF A,IE000YYE6WK5,MarketVector Global Defense Industry,Technology,9.66
VanEck Defense UCITS ETF A,IE000YYE6WK5,MarketVector Global Defense Industry,Other,6.83
VanEck Uranium and Nuclear Technologies UCITS ETF A,IE000M7V94E1,MarketVector Global Uranium and Nuclear Energy Infrastructure,Industrials,43.86
VanEck Uranium and Nuclear Technologies UCITS ETF A,IE000M7V94E1,MarketVector Global Uranium and Nuclear Energy Infrastructure,Energy,35.16
VanEck Uranium and Nuclear Technologies UCITS ETF A,IE000M7V94E1,MarketVector Global Uranium and Nuclear Energy Infrastructure,Other,15.67
VanEck Uranium and Nuclear Technologies UCITS ETF A,IE000M7V94E1,MarketVector Global Uranium and Nuclear Energy Infrastructure,Financials,4.95
VanEck Uranium and Nuclear Technologies UCITS ETF A,IE000M7V94E1,MarketVector Global Uranium and Nuclear Energy Infrastructure,Technology,0.36
VanEck Video Gaming and eSports UCITS ETF,IE00BYWQWR46,MarketVector Global Video Gaming & eSports ESG,Telecommunication,57.95
VanEck Video Gaming and eSports UCITS ETF,IE00BYWQWR46,MarketVector Global Video Gaming & eSports ESG,Technology,21.56
VanEck Video Gaming and eSports UCITS ETF,IE00BYWQWR46,MarketVector Global Video Gaming & eSports ESG,Consumer Discretionary,14.79
VanEck Video Gaming and eSports UCITS ETF,IE00BYWQWR46,MarketVector Global Video Gaming & eSports ESG,Other,5.7
iShares MDAX UCITS ETF (DE),DE0005933923,MDAX,Other,33.25
iShares MDAX UCITS ETF (DE),DE0005933923,MDAX,Industrials,28.97
iShares MDAX UCITS ETF (DE),DE0005933923,MDAX,Telecommunication,13.57
iShares MDAX UCITS ETF (DE),DE0005933923,MDAX,Consumer Discretionary,12.17
iShares MDAX UCITS ETF (DE),DE0005933923,MDAX,Basic Materials,12.04
iShares MDAX® UCITS ETF (DE) EUR (Dist),DE000A2QP349,MDAX,Other,33.25
iShares MDAX® UCITS ETF (DE) EUR (Dist),DE000A2QP349,MDAX,Industrials,28.97
iShares MDAX® UCITS ETF (DE) EUR (Dist),DE000A2QP349,MDAX,Telecommunication,13.57
iShares MDAX® UCITS ETF (DE) EUR (Dist),DE000A2QP349,MDAX,Consumer Discretionary,12.17
iShares MDAX® UCITS ETF (DE) EUR (Dist),DE000A2QP349,MDAX,Basic Materials,12.04
Invesco MDAX UCITS ETF A,IE00BHJYDV33,MDAX,Other,33.05
Invesco MDAX UCITS ETF A,IE00BHJYDV33,MDAX,Industrials,29.03
Invesco MDAX UCITS ETF A,IE00BHJYDV33,MDAX,Telecommunication,13.6
Invesco MDAX UCITS ETF A,IE00BHJYDV33,MDAX,Consumer Discretionary,12.25
Invesco MDAX UCITS ETF A,IE00BHJYDV33,MDAX,Basic Materials,12.07
HANetf The Medical Cannabis and Wellness UCITS ETF,IE00BG5J1M21,Medical Cannabis and Wellness Equity,Health Care,32.73
HANetf The Medical Cannabis and Wellness UCITS ETF,IE00BG5J1M21,Medical Cannabis and Wellness Equity,Financials,18.98
HANetf The Medical Cannabis and Wellness UCITS ETF,IE00BG5J1M21,Medical Cannabis and Wellness Equity,Basic Materials,18.83
HANetf The Medical Cannabis and Wellness UCITS ETF,IE00BG5J1M21,Medical Cannabis and Wellness Equity,Other,14.76
HANetf The Medical Cannabis and Wellness UCITS ETF,IE00BG5J1M21,Medical Cannabis and Wellness Equity,Consumer Staples,14.7
VanEck Vectors Morningstar Developed Markets Dividend Leaders UCITS ETF,NL0011683594,Morningstar Developed Markets Large Cap Dividend Leaders,Financials,39.88
VanEck Vectors Morningstar Developed Markets Dividend Leaders UCITS ETF,NL0011683594,Morningstar Developed Markets Large Cap Dividend Leaders,Other,27.22
VanEck Vectors Morningstar Developed Markets Dividend Leaders UCITS ETF,NL0011683594,Morningstar Developed Markets Large Cap Dividend Leaders,Health Care,14.47
VanEck Vectors Morningstar Developed Markets Dividend Leaders UCITS ETF,NL0011683594,Morningstar Developed Markets Large Cap Dividend Leaders,Energy,10.81
VanEck Vectors Morningstar Developed Markets Dividend Leaders UCITS ETF,NL0011683594,Morningstar Developed Markets Large Cap Dividend Leaders,Consumer Discretionary,7.62
VanEck Morningstar US Sustainable Wide Moat UCITS ETF,IE00BQQP9H09,Morningstar US Sustainable Moat Focus,Technology,30.61
VanEck Morningstar US Sustainable Wide Moat UCITS ETF,IE00BQQP9H09,Morningstar US Sustainable Moat Focus,Other,22.54
VanEck Morningstar US Sustainable Wide Moat UCITS ETF,IE00BQQP9H09,Morningstar US Sustainable Moat Focus,Financials,21.73
VanEck Morningstar US Sustainable Wide Moat UCITS ETF,IE00BQQP9H09,Morningstar US Sustainable Moat Focus,Consumer Staples,13.8
VanEck Morningstar US Sustainable Wide Moat UCITS ETF,IE00BQQP9H09,Morningstar US Sustainable Moat Focus,Industrials,11.32
iShares MSCI AC Far East ex-Japan UCITS ETF,IE00B0M63730,MSCI AC Far East ex-Japan,Technology,31.42
iShares MSCI AC Far East ex-Japan UCITS ETF,IE00B0M63730,MSCI AC Far East ex-Japan,Other,23.58
iShares MSCI AC Far East ex-Japan UCITS ETF,IE00B0M63730,MSCI AC Far East ex-Japan,Financials,20.22
iShares MSCI AC Far East ex-Japan UCITS ETF,IE00B0M63730,MSCI AC Far East ex-Japan,Consumer Discretionary,13.94
iShares MSCI AC Far East ex-Japan UCITS ETF,IE00B0M63730,MSCI AC Far East ex-Japan,Telecommunication,10.84
HSBC MSCI AC Far East ex Japan UCITS ETF USD,IE00BBQ2W338,MSCI AC Far East ex-Japan,Technology,31.23
HSBC MSCI AC Far East ex Japan UCITS ETF USD,IE00BBQ2W338,MSCI AC Far East ex-Japan,Other,23.45
HSBC MSCI AC Far East ex Japan UCITS ETF USD,IE00BBQ2W338,MSCI AC Far East ex-Japan,Financials,20.3
HSBC MSCI AC Far East ex Japan UCITS ETF USD,IE00BBQ2W338,MSCI AC Far East ex-Japan,Consumer Discretionary,14.13
HSBC MSCI AC Far East ex Japan UCITS ETF USD,IE00BBQ2W338,MSCI AC Far East ex-Japan,Telecommunication,10.89
SPDR MSCI ACWI UCITS ETF,IE00B44Z5B48,MSCI ACWI,Other,36.79
SPDR MSCI ACWI UCITS ETF,IE00B44Z5B48,MSCI ACWI,Technology,27.67
SPDR MSCI ACWI UCITS ETF,IE00B44Z5B48,MSCI ACWI,Financials,14.68
SPDR MSCI ACWI UCITS ETF,IE00B44Z5B48,MSCI ACWI,Consumer Discretionary,11.45
SPDR MSCI ACWI UCITS ETF,IE00B44Z5B48,MSCI ACWI,Industrials,9.41
iShares MSCI ACWI UCITS ETF (Acc),IE00B6R52259,MSCI ACWI,Other,37.02
iShares MSCI ACWI UCITS ETF (Acc),IE00B6R52259,MSCI ACWI,Technology,27.75
iShares MSCI ACWI UCITS ETF (Acc),IE00B6R52259,MSCI ACWI,Financials,14.41
iShares MSCI ACWI UCITS ETF (Acc),IE00B6R52259,MSCI ACWI,Consumer Discretionary,11.41
iShares MSCI ACWI UCITS ETF (Acc),IE00B6R52259,MSCI ACWI,Industrials,9.41
SPDR MSCI ACWI IMI UCITS ETF,IE00B3YLTY66,MSCI ACWI IMI,Other,37.5
SPDR MSCI ACWI IMI UCITS ETF,IE00B3YLTY66,MSCI ACWI IMI,Technology,26.21
SPDR MSCI ACWI IMI UCITS ETF,IE00B3YLTY66,MSCI ACWI IMI,Financials,14.34
SPDR MSCI ACWI IMI UCITS ETF,IE00B3YLTY66,MSCI ACWI IMI,Consumer Discretionary,11.35
SPDR MSCI ACWI IMI UCITS ETF,IE00B3YLTY66,MSCI ACWI IMI,Industrials,10.6
iShares MSCI Global Semiconductors UCITS ETF USD (Acc),IE000I8KRLL9,MSCI ACWI IMI Semiconductors & Semiconductor Equipment ESG Screened Select Capped,Technology,96.23
iShares MSCI Global Semiconductors UCITS ETF USD (Acc),IE000I8KRLL9,MSCI ACWI IMI Semiconductors & Semiconductor Equipment ESG Screened Select Capped,Other,3.74
iShares MSCI Global Semiconductors UCITS ETF USD (Acc),IE000I8KRLL9,MSCI ACWI IMI Semiconductors & Semiconductor Equipment ESG Screened Select Capped,Consumer Staples,0.02
iShares MSCI Global Semiconductors UCITS ETF USD (Acc),IE000I8KRLL9,MSCI ACWI IMI Semiconductors & Semiconductor Equipment ESG Screened Select Capped,Industrials,0.01
Xtrackers MSCI AC World ESG Screened UCITS ETF 1C,IE00BGHQ0G80,MSCI ACWI Select ESG Screened,Other,32.9
Xtrackers MSCI AC World ESG Screened UCITS ETF 1C,IE00BGHQ0G80,MSCI ACWI Select ESG Screened,Technology,29.58
Xtrackers MSCI AC World ESG Screened UCITS ETF 1C,IE00BGHQ0G80,MSCI ACWI Select ESG Screened,Financials,15.69
Xtrackers MSCI AC World ESG Screened UCITS ETF 1C,IE00BGHQ0G80,MSCI ACWI Select ESG Screened,Consumer Discretionary,12.16
Xtrackers MSCI AC World ESG Screened UCITS ETF 1C,IE00BGHQ0G80,MSCI ACWI Select ESG Screened,Health Care,9.67
Amundi MSCI Semiconductors ESG Screened UCITS ETF Acc,LU1900066033,MSCI ACWI Semiconductors & Semiconductor Equipment ESG Filtered,Technology,98.32
Amundi MSCI Semiconductors ESG Screened UCITS ETF Acc,LU1900066033,MSCI ACWI Semiconductors & Semiconductor Equipment ESG Filtered,Other,1.68
Amundi MSCI Semiconductors ESG Screened UCITS ETF Acc,LU1900066033,MSCI ACWI Semiconductors & Semiconductor Equipment ESG Filtered,Industrials,0.0
iShares MSCI Australia UCITS ETF,IE00B5377D42,MSCI Australia,Financials,38.76
iShares MSCI Australia UCITS ETF,IE00B5377D42,MSCI Australia,Other,26.28
iShares MSCI Australia UCITS ETF,IE00B5377D42,MSCI Australia,Basic Materials,18.32
iShares MSCI Australia UCITS ETF,IE00B5377D42,MSCI Australia,Health Care,9.8
iShares MSCI Australia UCITS ETF,IE00B5377D42,MSCI Australia,Consumer Discretionary,6.84
UBS ETF (IE) MSCI Australia UCITS ETF (AUD) A-dis,IE00BD4TY345,MSCI Australia,Financials,38.49
UBS ETF (IE) MSCI Australia UCITS ETF (AUD) A-dis,IE00BD4TY345,MSCI Australia,Other,26.75
UBS ETF (IE) MSCI Australia UCITS ETF (AUD) A-dis,IE00BD4TY345,MSCI Australia,Basic Materials,18.22
UBS ETF (IE) MSCI Australia UCITS ETF (AUD) A-dis,IE00BD4TY345,MSCI Australia,Health Care,9.76
UBS ETF (IE) MSCI Australia UCITS ETF (AUD) A-dis,IE00BD4TY345,MSCI Australia,Consumer Discretionary,6.78
HSBC MSCI Canada UCITS ETF USD,IE00B51B7Z02,MSCI Canada,Financials,33.47
HSBC MSCI Canada UCITS ETF USD,IE00B51B7Z02,MSCI Canada,Other,27.87
HSBC MSCI Canada UCITS ETF USD,IE00B51B7Z02,MSCI Canada,Energy,17.6
HSBC MSCI Canada UCITS ETF USD,IE00B51B7Z02,MSCI Canada,Technology,11.03
HSBC MSCI Canada UCITS ETF USD,IE00B51B7Z02,MSCI Canada,Basic Materials,10.03
iShares MSCI Canada UCITS ETF (Acc),IE00B52SF786,MSCI Canada,Financials,33.41
iShares MSCI Canada UCITS ETF (Acc),IE00B52SF786,MSCI Canada,Other,28.19
iShares MSCI Canada UCITS ETF (Acc),IE00B52SF786,MSCI Canada,Energy,17.41
iShares MSCI Canada UCITS ETF (Acc),IE00B52SF786,MSCI Canada,Technology,11.04
iShares MSCI Canada UCITS ETF (Acc),IE00B52SF786,MSCI Canada,Basic Materials,9.95
UBS ETF (LU) MSCI Canada UCITS ETF (CAD) A-dis,LU0446734872,MSCI Canada,Financials,33.29
UBS ETF (LU) MSCI Canada UCITS ETF (CAD) A-dis,LU0446734872,MSCI Canada,Other,28.28
UBS ETF (LU) MSCI Canada UCITS ETF (CAD) A-dis,LU0446734872,MSCI Canada,Energy,17.5
UBS ETF (LU) MSCI Canada UCITS ETF (CAD) A-dis,LU0446734872,MSCI Canada,Technology,10.95
UBS ETF (LU) MSCI Canada UCITS ETF (CAD) A-dis,LU0446734872,MSCI Canada,Basic Materials,9.98
Xtrackers MSCI Canada UCITS ETF 1C,LU0476289540,MSCI Canada,Financials,34.46
Xtrackers MSCI Canada UCITS ETF 1C,LU0476289540,MSCI Canada,Other,27.8
Xtrackers MSCI Canada UCITS ETF 1C,LU0476289540,MSCI Canada,Energy,16.76
Xtrackers MSCI Canada UCITS ETF 1C,LU0476289540,MSCI Canada,Technology,12.04
Xtrackers MSCI Canada UCITS ETF 1C,LU0476289540,MSCI Canada,Basic Materials,8.94
UBS ETF (LU) MSCI Canada UCITS ETF (CAD) A-acc,LU0950672807,MSCI Canada,Financials,33.29
UBS ETF (LU) MSCI Canada UCITS ETF (CAD) A-acc,LU0950672807,MSCI Canada,Other,28.28
UBS ETF (LU) MSCI Canada UCITS ETF (CAD) A-acc,LU0950672807,MSCI Canada,Energy,17.5
UBS ETF (LU) MSCI Canada UCITS ETF (CAD) A-acc,LU0950672807,MSCI Canada,Technology,10.95
UBS ETF (LU) MSCI Canada UCITS ETF (CAD) A-acc,LU0950672807,MSCI Canada,Basic Materials,9.98
Deka MSCI China UCITS ETF,DE000ETFL326,MSCI China,Consumer Discretionary,32.92
Deka MSCI China UCITS ETF,DE000ETFL326,MSCI China,Telecommunication,24.85
Deka MSCI China UCITS ETF,DE000ETFL326,MSCI China,Other,18.56
Deka MSCI China UCITS ETF,DE000ETFL326,MSCI China,Financials,17.67
Deka MSCI China UCITS ETF,DE000ETFL326,MSCI China,Technology,6.0
HSBC MSCI China UCITS ETF USD (Acc),IE0007P4PBU1,MSCI China,Consumer Discretionary,29.14
HSBC MSCI China UCITS ETF USD (Acc),IE0007P4PBU1,MSCI China,Other,24.16
HSBC MSCI China UCITS ETF USD (Acc),IE0007P4PBU1,MSCI China,Telecommunication,21.11
HSBC MSCI China UCITS ETF USD (Acc),IE0007P4PBU1,MSCI China,Financials,18.44
HSBC MSCI China UCITS ETF USD (Acc),IE0007P4PBU1,MSCI China,Technology,7.15
HSBC MSCI China UCITS ETF USD,IE00B44T3H88,MSCI China,Consumer Discretionary,29.14
HSBC MSCI China UCITS ETF USD,IE00B44T3H88,MSCI China,Other,24.16
HSBC MSCI China UCITS ETF USD,IE00B44T3H88,MSCI China,Telecommunication,21.11
HSBC MSCI China UCITS ETF USD,IE00B44T3H88,MSCI China,Financials,18.44
HSBC MSCI China UCITS ETF USD,IE00B44T3H88,MSCI China,Technology,7.15
iShares MSCI China UCITS ETF USD (Acc),IE00BJ5JPG56,MSCI China,Consumer Discretionary,28.89
iShares MSCI China UCITS ETF USD (Acc),IE00BJ5JPG56,MSCI China,Other,24.29
iShares MSCI China UCITS ETF USD (Acc),IE00BJ5JPG56,MSCI China,Telecommunication,21.15
iShares MSCI China UCITS ETF USD (Acc),IE00BJ5JPG56,MSCI China,Financials,18.43
iShares MSCI China UCITS ETF USD (Acc),IE00BJ5JPG56,MSCI China,Technology,7.24
iShares MSCI China UCITS ETF USD (Dist),IE00BL977C92,MSCI China,Consumer Discretionary,28.89
iShares MSCI China UCITS ETF USD (Dist),IE00BL977C92,MSCI China,Other,24.29
iShares MSCI China UCITS ETF USD (Dist),IE00BL977C92,MSCI China,Telecommunication,21.15
iShares MSCI China UCITS ETF USD (Dist),IE00BL977C92,MSCI China,Financials,18.43
iShares MSCI China UCITS ETF USD (Dist),IE00BL977C92,MSCI China,Technology,7.24
Xtrackers MSCI China UCITS ETF 1C,LU0514695690,MSCI China,Consumer Discretionary,30.36
Xtrackers MSCI China UCITS ETF 1C,LU0514695690,MSCI China,Other,23.9
