Fund,ISIN,Index,Country,Allocation
Xtrackers Global Inflation-Linked Bond UCITS ETF 5C,LU0908508814,Bloomberg Barclays World Government Inflation-Linked Bond,United Kingdom,23.31
Xtrackers Global Inflation-Linked Bond UCITS ETF 5C,LU0908508814,Bloomberg Barclays World Government Inflation-Linked Bond,Other,21.23
Xtrackers Global Inflation-Linked Bond UCITS ETF 5C,LU0908508814,Bloomberg Barclays World Government Inflation-Linked Bond,France,7.48
Xtrackers Global Inflation-Linked Bond UCITS ETF 5C,LU0908508814,Bloomberg Barclays World Government Inflation-Linked Bond,Italy,4.93
iShares Global Inflation Linked Government Bond EUR Hedged UCITS ETF (Dist),IE00BD8PH174,Bloomberg Barclays World Government Inflation-Linked Bond (EUR Hedged),United States,43.49
iShares Global Inflation Linked Government Bond EUR Hedged UCITS ETF (Dist),IE00BD8PH174,Bloomberg Barclays World Government Inflation-Linked Bond (EUR Hedged),United Kingdom,23.14
iShares Global Inflation Linked Government Bond EUR Hedged UCITS ETF (Dist),IE00BD8PH174,Bloomberg Barclays World Government Inflation-Linked Bond (EUR Hedged),Other,20.86
iShares Global Inflation Linked Government Bond EUR Hedged UCITS ETF (Dist),IE00BD8PH174,Bloomberg Barclays World Government Inflation-Linked Bond (EUR Hedged),France,7.54
iShares Global Inflation Linked Government Bond EUR Hedged UCITS ETF (Dist),IE00BD8PH174,Bloomberg Barclays World Government Inflation-Linked Bond (EUR Hedged),Italy,4.97
Xtrackers Global Inflation-Linked Bond UCITS ETF 1C EUR hedged,LU0290357929,Bloomberg Barclays World Government Inflation-Linked Bond (EUR Hedged),United States,43.12
Xtrackers Global Inflation-Linked Bond UCITS ETF 1C EUR hedged,LU0290357929,Bloomberg Barclays World Government Inflation-Linked Bond (EUR Hedged),United Kingdom,23.35
Xtrackers Global Inflation-Linked Bond UCITS ETF 1C EUR hedged,LU0290357929,Bloomberg Barclays World Government Inflation-Linked Bond (EUR Hedged),Other,21.1
Xtrackers Global Inflation-Linked Bond UCITS ETF 1C EUR hedged,LU0290357929,Bloomberg Barclays World Government Inflation-Linked Bond (EUR Hedged),France,7.49
Xtrackers Global Inflation-Linked Bond UCITS ETF 1C EUR hedged,LU0290357929,Bloomberg Barclays World Government Inflation-Linked Bond (EUR Hedged),Italy,4.94
Xtrackers Global Inflation-Linked Bond UCITS ETF 1D EUR hedged,LU0962078753,Bloomberg Barclays World Government Inflation-Linked Bond (EUR Hedged),United States,43.12
Xtrackers Global Inflation-Linked Bond UCITS ETF 1D EUR hedged,LU0962078753,Bloomberg Barclays World Government Inflation-Linked Bond (EUR Hedged),United Kingdom,23.35
Xtrackers Global Inflation-Linked Bond UCITS ETF 1D EUR hedged,LU0962078753,Bloomberg Barclays World Government Inflation-Linked Bond (EUR Hedged),Other,21.11
Xtrackers Global Inflation-Linked Bond UCITS ETF 1D EUR hedged,LU0962078753,Bloomberg Barclays World Government Inflation-Linked Bond (EUR Hedged),France,7.49
Xtrackers Global Inflation-Linked Bond UCITS ETF 1D EUR hedged,LU0962078753,Bloomberg Barclays World Government Inflation-Linked Bond (EUR Hedged),Italy,4.93
iShares EUR Aggregate Bond ESG UCITS ETF EUR (Dist),IE00B3DKXQ41,Bloomberg Euro Aggregate Bond,Other,47.63
iShares EUR Aggregate Bond ESG UCITS ETF EUR (Dist),IE00B3DKXQ41,Bloomberg Euro Aggregate Bond,France,18.6
iShares EUR Aggregate Bond ESG UCITS ETF EUR (Dist),IE00B3DKXQ41,Bloomberg Euro Aggregate Bond,Germany,14.84
iShares EUR Aggregate Bond ESG UCITS ETF EUR (Dist),IE00B3DKXQ41,Bloomberg Euro Aggregate Bond,Italy,10.7
iShares EUR Aggregate Bond ESG UCITS ETF EUR (Dist),IE00B3DKXQ41,Bloomberg Euro Aggregate Bond,Spain,8.23
SPDR Bloomberg Euro Aggregate Bond UCITS ETF,IE00B41RYL63,Bloomberg Euro Aggregate Bond,Other,46.83
SPDR Bloomberg Euro Aggregate Bond UCITS ETF,IE00B41RYL63,Bloomberg Euro Aggregate Bond,France,18.67
SPDR Bloomberg Euro Aggregate Bond UCITS ETF,IE00B41RYL63,Bloomberg Euro Aggregate Bond,Germany,14.47
SPDR Bloomberg Euro Aggregate Bond UCITS ETF,IE00B41RYL63,Bloomberg Euro Aggregate Bond,Italy,11.19
SPDR Bloomberg Euro Aggregate Bond UCITS ETF,IE00B41RYL63,Bloomberg Euro Aggregate Bond,Spain,8.84
iShares Core Euro Government Bond UCITS ETF (Dist),IE00B4WXJJ64,Bloomberg Euro Aggregate Treasury,Other,33.16
iShares Core Euro Government Bond UCITS ETF (Dist),IE00B4WXJJ64,Bloomberg Euro Aggregate Treasury,France,22.02
iShares Core Euro Government Bond UCITS ETF (Dist),IE00B4WXJJ64,Bloomberg Euro Aggregate Treasury,Italy,17.8
iShares Core Euro Government Bond UCITS ETF (Dist),IE00B4WXJJ64,Bloomberg Euro Aggregate Treasury,Germany,14.42
iShares Core Euro Government Bond UCITS ETF (Dist),IE00B4WXJJ64,Bloomberg Euro Aggregate Treasury,Spain,12.6
Vanguard EUR Eurozone Government Bond UCITS ETF Accumulating,IE00BH04GL39,Bloomberg Euro Aggregate Treasury,Other,43.6
Vanguard EUR Eurozone Government Bond UCITS ETF Accumulating,IE00BH04GL39,Bloomberg Euro Aggregate Treasury,France,25.76
Vanguard EUR Eurozone Government Bond UCITS ETF Accumulating,IE00BH04GL39,Bloomberg Euro Aggregate Treasury,Germany,12.79
Vanguard EUR Eurozone Government Bond UCITS ETF Accumulating,IE00BH04GL39,Bloomberg Euro Aggregate Treasury,Italy,12.78
Vanguard EUR Eurozone Government Bond UCITS ETF Accumulating,IE00BH04GL39,Bloomberg Euro Aggregate Treasury,Netherlands,5.07
Vanguard EUR Eurozone Government Bond UCITS ETF Distributing,IE00BZ163H91,Bloomberg Euro Aggregate Treasury,Other,43.6
Vanguard EUR Eurozone Government Bond UCITS ETF Distributing,IE00BZ163H91,Bloomberg Euro Aggregate Treasury,France,25.76
Vanguard EUR Eurozone Government Bond UCITS ETF Distributing,IE00BZ163H91,Bloomberg Euro Aggregate Treasury,Germany,12.79
Vanguard EUR Eurozone Government Bond UCITS ETF Distributing,IE00BZ163H91,Bloomberg Euro Aggregate Treasury,Italy,12.78
Vanguard EUR Eurozone Government Bond UCITS ETF Distributing,IE00BZ163H91,Bloomberg Euro Aggregate Treasury,Netherlands,5.07
iShares Core Euro Corporate Bond UCITS ETF (Dist),IE00B3F81R35,Bloomberg Euro Corporate Bond,Other,50.92
iShares Core Euro Corporate Bond UCITS ETF (Dist),IE00B3F81R35,Bloomberg Euro Corporate Bond,France,15.63
iShares Core Euro Corporate Bond UCITS ETF (Dist),IE00B3F81R35,Bloomberg Euro Corporate Bond,United States,15.24
iShares Core Euro Corporate Bond UCITS ETF (Dist),IE00B3F81R35,Bloomberg Euro Corporate Bond,Netherlands,11.76
iShares Core Euro Corporate Bond UCITS ETF (Dist),IE00B3F81R35,Bloomberg Euro Corporate Bond,Germany,6.45
SPDR Bloomberg Euro Corporate Bond UCITS ETF,IE00B3T9LM79,Bloomberg Euro Corporate Bond,Other,52.87
SPDR Bloomberg Euro Corporate Bond UCITS ETF,IE00B3T9LM79,Bloomberg Euro Corporate Bond,France,14.83
SPDR Bloomberg Euro Corporate Bond UCITS ETF,IE00B3T9LM79,Bloomberg Euro Corporate Bond,United States,14.7
SPDR Bloomberg Euro Corporate Bond UCITS ETF,IE00B3T9LM79,Bloomberg Euro Corporate Bond,Netherlands,11.18
SPDR Bloomberg Euro Corporate Bond UCITS ETF,IE00B3T9LM79,Bloomberg Euro Corporate Bond,Germany,6.42
iShares Core Euro Corporate Bond UCITS ETF (Acc),IE00BF11F565,Bloomberg Euro Corporate Bond,Other,50.92
iShares Core Euro Corporate Bond UCITS ETF (Acc),IE00BF11F565,Bloomberg Euro Corporate Bond,France,15.63
iShares Core Euro Corporate Bond UCITS ETF (Acc),IE00BF11F565,Bloomberg Euro Corporate Bond,United States,15.24
iShares Core Euro Corporate Bond UCITS ETF (Acc),IE00BF11F565,Bloomberg Euro Corporate Bond,Netherlands,11.76
iShares Core Euro Corporate Bond UCITS ETF (Acc),IE00BF11F565,Bloomberg Euro Corporate Bond,Germany,6.45
Invesco Euro Corporate Bond UCITS ETF Dist,IE00BF51K249,Bloomberg Euro Corporate Bond,Other,48.59
Invesco Euro Corporate Bond UCITS ETF Dist,IE00BF51K249,Bloomberg Euro Corporate Bond,France,20.79
Invesco Euro Corporate Bond UCITS ETF Dist,IE00BF51K249,Bloomberg Euro Corporate Bond,Netherlands,12.44
Invesco Euro Corporate Bond UCITS ETF Dist,IE00BF51K249,Bloomberg Euro Corporate Bond,United States,10.14
Invesco Euro Corporate Bond UCITS ETF Dist,IE00BF51K249,Bloomberg Euro Corporate Bond,Germany,8.04
Vanguard EUR Corporate Bond UCITS ETF Accumulating,IE00BGYWT403,Bloomberg Euro Corporate Bond,Other,51.47
Vanguard EUR Corporate Bond UCITS ETF Accumulating,IE00BGYWT403,Bloomberg Euro Corporate Bond,France,15.64
Vanguard EUR Corporate Bond UCITS ETF Accumulating,IE00BGYWT403,Bloomberg Euro Corporate Bond,United States,15.03
Vanguard EUR Corporate Bond UCITS ETF Accumulating,IE00BGYWT403,Bloomberg Euro Corporate Bond,Netherlands,11.89
Vanguard EUR Corporate Bond UCITS ETF Accumulating,IE00BGYWT403,Bloomberg Euro Corporate Bond,Germany,5.97
Vanguard EUR Corporate Bond UCITS ETF Distributing,IE00BZ163G84,Bloomberg Euro Corporate Bond,Other,51.51
Vanguard EUR Corporate Bond UCITS ETF Distributing,IE00BZ163G84,Bloomberg Euro Corporate Bond,France,15.62
Vanguard EUR Corporate Bond UCITS ETF Distributing,IE00BZ163G84,Bloomberg Euro Corporate Bond,United States,15.01
Vanguard EUR Corporate Bond UCITS ETF Distributing,IE00BZ163G84,Bloomberg Euro Corporate Bond,Netherlands,11.88
Vanguard EUR Corporate Bond UCITS ETF Distributing,IE00BZ163G84,Bloomberg Euro Corporate Bond,Germany,5.98
Xtrackers II EUR Corporate Bond UCITS ETF 1C,LU0478205379,Bloomberg Euro Corporate Bond,Other,50.67
Xtrackers II EUR Corporate Bond UCITS ETF 1C,LU0478205379,Bloomberg Euro Corporate Bond,France,15.66
Xtrackers II EUR Corporate Bond UCITS ETF 1C,LU0478205379,Bloomberg Euro Corporate Bond,United States,15.33
Xtrackers II EUR Corporate Bond UCITS ETF 1C,LU0478205379,Bloomberg Euro Corporate Bond,Netherlands,11.93
Xtrackers II EUR Corporate Bond UCITS ETF 1C,LU0478205379,Bloomberg Euro Corporate Bond,Germany,6.41
iShares Euro Government Bond 3-7yr UCITS ETF (Acc),IE00B3VTML14,Bloomberg Euro Government Bond 3-7 Year,France,24.1
iShares Euro Government Bond 3-7yr UCITS ETF (Acc),IE00B3VTML14,Bloomberg Euro Government Bond 3-7 Year,Germany,19.99
iShares Euro Government Bond 3-7yr UCITS ETF (Acc),IE00B3VTML14,Bloomberg Euro Government Bond 3-7 Year,Italy,18.45
iShares Euro Government Bond 3-7yr UCITS ETF (Acc),IE00B3VTML14,Bloomberg Euro Government Bond 3-7 Year,Other,16.54
iShares Euro Government Bond 3-7yr UCITS ETF (Acc),IE00B3VTML14,Bloomberg Euro Government Bond 3-7 Year,Spain,15.92
iShares Euro Government Bond 3-7yr UCITS ETF (Acc),IE00B3VTML14,Bloomberg Euro Government Bond 3-7 Year,Netherlands,5.0
Amundi Euro Government Bond 1-3Y UCITS ETF Acc,LU1650487413,Bloomberg Euro Treasury 50bn 1-3 Year Bond,Other,28.51
Amundi Euro Government Bond 1-3Y UCITS ETF Acc,LU1650487413,Bloomberg Euro Treasury 50bn 1-3 Year Bond,Italy,22.22
Amundi Euro Government Bond 1-3Y UCITS ETF Acc,LU1650487413,Bloomberg Euro Treasury 50bn 1-3 Year Bond,France,20.34
Amundi Euro Government Bond 1-3Y UCITS ETF Acc,LU1650487413,Bloomberg Euro Treasury 50bn 1-3 Year Bond,Germany,15.2
Amundi Euro Government Bond 1-3Y UCITS ETF Acc,LU1650487413,Bloomberg Euro Treasury 50bn 1-3 Year Bond,Spain,13.73
Amundi Euro Government Bond 1-3Y UCITS ETF Dist,LU1650487926,Bloomberg Euro Treasury 50bn 1-3 Year Bond,Other,28.51
Amundi Euro Government Bond 1-3Y UCITS ETF Dist,LU1650487926,Bloomberg Euro Treasury 50bn 1-3 Year Bond,Italy,22.22
Amundi Euro Government Bond 1-3Y UCITS ETF Dist,LU1650487926,Bloomberg Euro Treasury 50bn 1-3 Year Bond,France,20.34
Amundi Euro Government Bond 1-3Y UCITS ETF Dist,LU1650487926,Bloomberg Euro Treasury 50bn 1-3 Year Bond,Germany,15.2
Amundi Euro Government Bond 1-3Y UCITS ETF Dist,LU1650487926,Bloomberg Euro Treasury 50bn 1-3 Year Bond,Spain,13.73
Amundi Euro Government Bond 10-15Y UCITS ETF Acc,LU1650489385,Bloomberg Euro Treasury 50bn 10-15 Year Bond,Other,34.77
Amundi Euro Government Bond 10-15Y UCITS ETF Acc,LU1650489385,Bloomberg Euro Treasury 50bn 10-15 Year Bond,France,22.57
Amundi Euro Government Bond 10-15Y UCITS ETF Acc,LU1650489385,Bloomberg Euro Treasury 50bn 10-15 Year Bond,Italy,21.08
Amundi Euro Government Bond 10-15Y UCITS ETF Acc,LU1650489385,Bloomberg Euro Treasury 50bn 10-15 Year Bond,Germany,12.45
Amundi Euro Government Bond 10-15Y UCITS ETF Acc,LU1650489385,Bloomberg Euro Treasury 50bn 10-15 Year Bond,Spain,9.13
Amundi Euro Government Bond 10-15Y UCITS ETF Dist,LU1650489898,Bloomberg Euro Treasury 50bn 10-15 Year Bond,Other,34.77
Amundi Euro Government Bond 10-15Y UCITS ETF Dist,LU1650489898,Bloomberg Euro Treasury 50bn 10-15 Year Bond,France,22.57
Amundi Euro Government Bond 10-15Y UCITS ETF Dist,LU1650489898,Bloomberg Euro Treasury 50bn 10-15 Year Bond,Italy,21.08
Amundi Euro Government Bond 10-15Y UCITS ETF Dist,LU1650489898,Bloomberg Euro Treasury 50bn 10-15 Year Bond,Germany,12.45
Amundi Euro Government Bond 10-15Y UCITS ETF Dist,LU1650489898,Bloomberg Euro Treasury 50bn 10-15 Year Bond,Spain,9.13
SPDR Bloomberg 3-5 Year Euro Government Bond UCITS ETF,IE00BS7K8821,Bloomberg Euro Treasury 50bn 3-5 Year Bond,Other,32.94
SPDR Bloomberg 3-5 Year Euro Government Bond UCITS ETF,IE00BS7K8821,Bloomberg Euro Treasury 50bn 3-5 Year Bond,France,23.42
SPDR Bloomberg 3-5 Year Euro Government Bond UCITS ETF,IE00BS7K8821,Bloomberg Euro Treasury 50bn 3-5 Year Bond,Italy,15.34
SPDR Bloomberg 3-5 Year Euro Government Bond UCITS ETF,IE00BS7K8821,Bloomberg Euro Treasury 50bn 3-5 Year Bond,Germany,14.95
SPDR Bloomberg 3-5 Year Euro Government Bond UCITS ETF,IE00BS7K8821,Bloomberg Euro Treasury 50bn 3-5 Year Bond,Spain,13.35
Amundi Euro Government Bond 3-5Y UCITS ETF Acc,LU1650488494,Bloomberg Euro Treasury 50bn 3-5 Year Bond,Other,32.13
Amundi Euro Government Bond 3-5Y UCITS ETF Acc,LU1650488494,Bloomberg Euro Treasury 50bn 3-5 Year Bond,France,23.64
Amundi Euro Government Bond 3-5Y UCITS ETF Acc,LU1650488494,Bloomberg Euro Treasury 50bn 3-5 Year Bond,Italy,15.45
Amundi Euro Government Bond 3-5Y UCITS ETF Acc,LU1650488494,Bloomberg Euro Treasury 50bn 3-5 Year Bond,Germany,15.2
Amundi Euro Government Bond 3-5Y UCITS ETF Acc,LU1650488494,Bloomberg Euro Treasury 50bn 3-5 Year Bond,Spain,13.58
Amundi Euro Government Bond 3-5Y UCITS ETF Dist,LU1650488817,Bloomberg Euro Treasury 50bn 3-5 Year Bond,Other,32.13
Amundi Euro Government Bond 3-5Y UCITS ETF Dist,LU1650488817,Bloomberg Euro Treasury 50bn 3-5 Year Bond,France,23.64
Amundi Euro Government Bond 3-5Y UCITS ETF Dist,LU1650488817,Bloomberg Euro Treasury 50bn 3-5 Year Bond,Italy,15.45
Amundi Euro Government Bond 3-5Y UCITS ETF Dist,LU1650488817,Bloomberg Euro Treasury 50bn 3-5 Year Bond,Germany,15.2
Amundi Euro Government Bond 3-5Y UCITS ETF Dist,LU1650488817,Bloomberg Euro Treasury 50bn 3-5 Year Bond,Spain,13.58
Amundi Euro Government Bond II UCITS ETF Acc,LU1650490474,Bloomberg Euro Treasury 50bn Bond,Other,31.62
Amundi Euro Government Bond II UCITS ETF Acc,LU1650490474,Bloomberg Euro Treasury 50bn Bond,France,22.32
Amundi Euro Government Bond II UCITS ETF Acc,LU1650490474,Bloomberg Euro Treasury 50bn Bond,Italy,18.32
Amundi Euro Government Bond II UCITS ETF Acc,LU1650490474,Bloomberg Euro Treasury 50bn Bond,Germany,14.95
Amundi Euro Government Bond II UCITS ETF Acc,LU1650490474,Bloomberg Euro Treasury 50bn Bond,Spain,12.79
iShares Euro Government Bond 0-1yr UCITS ETF,IE00B3FH7618,Bloomberg Euro Treasury Bond 0-1 Year,Italy,35.27
iShares Euro Government Bond 0-1yr UCITS ETF,IE00B3FH7618,Bloomberg Euro Treasury Bond 0-1 Year,France,18.65
iShares Euro Government Bond 0-1yr UCITS ETF,IE00B3FH7618,Bloomberg Euro Treasury Bond 0-1 Year,Germany,18.31
iShares Euro Government Bond 0-1yr UCITS ETF,IE00B3FH7618,Bloomberg Euro Treasury Bond 0-1 Year,Other,15.44
iShares Euro Government Bond 0-1yr UCITS ETF,IE00B3FH7618,Bloomberg Euro Treasury Bond 0-1 Year,Spain,12.33
iShares Core Global Aggregate Bond UCITS ETF USD (Dist),IE00B3F81409,Bloomberg Global Aggregate Bond,Other,60.63
iShares Core Global Aggregate Bond UCITS ETF USD (Dist),IE00B3F81409,Bloomberg Global Aggregate Bond,United States,19.02
iShares Core Global Aggregate Bond UCITS ETF USD (Dist),IE00B3F81409,Bloomberg Global Aggregate Bond,Japan,9.9
iShares Core Global Aggregate Bond UCITS ETF USD (Dist),IE00B3F81409,Bloomberg Global Aggregate Bond,China,6.98
iShares Core Global Aggregate Bond UCITS ETF USD (Dist),IE00B3F81409,Bloomberg Global Aggregate Bond,France,3.47
SPDR Bloomberg Global Aggregate Bond UCITS ETF,IE00B43QJJ40,Bloomberg Global Aggregate Bond,Other,53.57
SPDR Bloomberg Global Aggregate Bond UCITS ETF,IE00B43QJJ40,Bloomberg Global Aggregate Bond,United States,27.07
SPDR Bloomberg Global Aggregate Bond UCITS ETF,IE00B43QJJ40,Bloomberg Global Aggregate Bond,Japan,9.57
SPDR Bloomberg Global Aggregate Bond UCITS ETF,IE00B43QJJ40,Bloomberg Global Aggregate Bond,China,5.85
SPDR Bloomberg Global Aggregate Bond UCITS ETF,IE00B43QJJ40,Bloomberg Global Aggregate Bond,France,3.94
iShares Core Global Aggregate Bond UCITS ETF EUR Hedged (Acc),IE00BDBRDM35,Bloomberg Global Aggregate Bond (EUR Hedged),Other,60.63
iShares Core Global Aggregate Bond UCITS ETF EUR Hedged (Acc),IE00BDBRDM35,Bloomberg Global Aggregate Bond (EUR Hedged),United States,19.02
iShares Core Global Aggregate Bond UCITS ETF EUR Hedged (Acc),IE00BDBRDM35,Bloomberg Global Aggregate Bond (EUR Hedged),Japan,9.9
iShares Core Global Aggregate Bond UCITS ETF EUR Hedged (Acc),IE00BDBRDM35,Bloomberg Global Aggregate Bond (EUR Hedged),China,6.98
iShares Core Global Aggregate Bond UCITS ETF EUR Hedged (Acc),IE00BDBRDM35,Bloomberg Global Aggregate Bond (EUR Hedged),France,3.47
SPDR Bloomberg Global Aggregate Bond UCITS ETF EUR Hedged,IE00BF1QPL78,Bloomberg Global Aggregate Bond (EUR Hedged),Other,53.48
SPDR Bloomberg Global Aggregate Bond UCITS ETF EUR Hedged,IE00BF1QPL78,Bloomberg Global Aggregate Bond (EUR Hedged),United States,27.13
SPDR Bloomberg Global Aggregate Bond UCITS ETF EUR Hedged,IE00BF1QPL78,Bloomberg Global Aggregate Bond (EUR Hedged),Japan,9.59
SPDR Bloomberg Global Aggregate Bond UCITS ETF EUR Hedged,IE00BF1QPL78,Bloomberg Global Aggregate Bond (EUR Hedged),China,5.86
SPDR Bloomberg Global Aggregate Bond UCITS ETF EUR Hedged,IE00BF1QPL78,Bloomberg Global Aggregate Bond (EUR Hedged),France,3.94
iShares Global Corporate Bond UCITS ETF,IE00B7J7TB45,Bloomberg Global Aggregate Corporate,United States,46.02
iShares Global Corporate Bond UCITS ETF,IE00B7J7TB45,Bloomberg Global Aggregate Corporate,Other,40.31
iShares Global Corporate Bond UCITS ETF,IE00B7J7TB45,Bloomberg Global Aggregate Corporate,United Kingdom,5.21
iShares Global Corporate Bond UCITS ETF,IE00B7J7TB45,Bloomberg Global Aggregate Corporate,France,4.3
iShares Global Corporate Bond UCITS ETF,IE00B7J7TB45,Bloomberg Global Aggregate Corporate,Canada,4.16
iShares Global Corporate Bond UCITS ETF USD (Acc),IE00BFM6TB42,Bloomberg Global Aggregate Corporate,United States,46.02
iShares Global Corporate Bond UCITS ETF USD (Acc),IE00BFM6TB42,Bloomberg Global Aggregate Corporate,Other,40.31
iShares Global Corporate Bond UCITS ETF USD (Acc),IE00BFM6TB42,Bloomberg Global Aggregate Corporate,United Kingdom,5.21
iShares Global Corporate Bond UCITS ETF USD (Acc),IE00BFM6TB42,Bloomberg Global Aggregate Corporate,France,4.3
iShares Global Corporate Bond UCITS ETF USD (Acc),IE00BFM6TB42,Bloomberg Global Aggregate Corporate,Canada,4.16
Vanguard Global Aggregate Bond UCITS ETF EUR Hedged Distributing,IE00BG47KB92,Bloomberg Global Aggregate Float Adjusted and Scaled (EUR Hedged),Other,58.72
Vanguard Global Aggregate Bond UCITS ETF EUR Hedged Distributing,IE00BG47KB92,Bloomberg Global Aggregate Float Adjusted and Scaled (EUR Hedged),United States,25.57
Vanguard Global Aggregate Bond UCITS ETF EUR Hedged Distributing,IE00BG47KB92,Bloomberg Global Aggregate Float Adjusted and Scaled (EUR Hedged),Japan,7.44
Vanguard Global Aggregate Bond UCITS ETF EUR Hedged Distributing,IE00BG47KB92,Bloomberg Global Aggregate Float Adjusted and Scaled (EUR Hedged),France,4.72
Vanguard Global Aggregate Bond UCITS ETF EUR Hedged Distributing,IE00BG47KB92,Bloomberg Global Aggregate Float Adjusted and Scaled (EUR Hedged),Germany,3.55
Vanguard Global Aggregate Bond UCITS ETF EUR Hedged Accumulating,IE00BG47KH54,Bloomberg Global Aggregate Float Adjusted and Scaled (EUR Hedged),Other,58.72
Vanguard Global Aggregate Bond UCITS ETF EUR Hedged Accumulating,IE00BG47KH54,Bloomberg Global Aggregate Float Adjusted and Scaled (EUR Hedged),United States,25.57
Vanguard Global Aggregate Bond UCITS ETF EUR Hedged Accumulating,IE00BG47KH54,Bloomberg Global Aggregate Float Adjusted and Scaled (EUR Hedged),Japan,7.44
Vanguard Global Aggregate Bond UCITS ETF EUR Hedged Accumulating,IE00BG47KH54,Bloomberg Global Aggregate Float Adjusted and Scaled (EUR Hedged),France,4.72
Vanguard Global Aggregate Bond UCITS ETF EUR Hedged Accumulating,IE00BG47KH54,Bloomberg Global Aggregate Float Adjusted and Scaled (EUR Hedged),Germany,3.55
Amundi Index Euro Aggregate SRI UCITS ETF DR (C),LU2182388236,Bloomberg MSCI Euro Aggregate Sustainable SRI Sector Neutral,Other,47.71
Amundi Index Euro Aggregate SRI UCITS ETF DR (C),LU2182388236,Bloomberg MSCI Euro Aggregate Sustainable SRI Sector Neutral,France,17.89
Amundi Index Euro Aggregate SRI UCITS ETF DR (C),LU2182388236,Bloomberg MSCI Euro Aggregate Sustainable SRI Sector Neutral,Germany,14.95
Amundi Index Euro Aggregate SRI UCITS ETF DR (C),LU2182388236,Bloomberg MSCI Euro Aggregate Sustainable SRI Sector Neutral,Italy,11.06
Amundi Index Euro Aggregate SRI UCITS ETF DR (C),LU2182388236,Bloomberg MSCI Euro Aggregate Sustainable SRI Sector Neutral,Spain,8.39
iShares EUR Corporate Bond 0-3yr ESG UCITS ETF EUR (Acc),IE000AK4O3W6,Bloomberg MSCI Euro Corporate 0-3 Sustainable SRI,Other,45.98
iShares EUR Corporate Bond 0-3yr ESG UCITS ETF EUR (Acc),IE000AK4O3W6,Bloomberg MSCI Euro Corporate 0-3 Sustainable SRI,France,17.08
iShares EUR Corporate Bond 0-3yr ESG UCITS ETF EUR (Acc),IE000AK4O3W6,Bloomberg MSCI Euro Corporate 0-3 Sustainable SRI,United States,14.97
iShares EUR Corporate Bond 0-3yr ESG UCITS ETF EUR (Acc),IE000AK4O3W6,Bloomberg MSCI Euro Corporate 0-3 Sustainable SRI,Netherlands,12.3
iShares EUR Corporate Bond 0-3yr ESG UCITS ETF EUR (Acc),IE000AK4O3W6,Bloomberg MSCI Euro Corporate 0-3 Sustainable SRI,United Kingdom,9.67
iShares EUR Corporate Bond 0-3yr ESG UCITS ETF EUR (Dist),IE00BYZTVV78,Bloomberg MSCI Euro Corporate 0-3 Sustainable SRI,Other,45.98
iShares EUR Corporate Bond 0-3yr ESG UCITS ETF EUR (Dist),IE00BYZTVV78,Bloomberg MSCI Euro Corporate 0-3 Sustainable SRI,France,17.08
iShares EUR Corporate Bond 0-3yr ESG UCITS ETF EUR (Dist),IE00BYZTVV78,Bloomberg MSCI Euro Corporate 0-3 Sustainable SRI,United States,14.97
iShares EUR Corporate Bond 0-3yr ESG UCITS ETF EUR (Dist),IE00BYZTVV78,Bloomberg MSCI Euro Corporate 0-3 Sustainable SRI,Netherlands,12.3
iShares EUR Corporate Bond 0-3yr ESG UCITS ETF EUR (Dist),IE00BYZTVV78,Bloomberg MSCI Euro Corporate 0-3 Sustainable SRI,United Kingdom,9.67
iShares USD Floating Rate Bond UCITS ETF USD (Acc),IE00BDFGJ627,Bloomberg US Floating Rate Notes 1-5 Year,Other,61.27
iShares USD Floating Rate Bond UCITS ETF USD (Acc),IE00BDFGJ627,Bloomberg US Floating Rate Notes 1-5 Year,United States,27.75
iShares USD Floating Rate Bond UCITS ETF USD (Acc),IE00BDFGJ627,Bloomberg US Floating Rate Notes 1-5 Year,Canada,4.42
iShares USD Floating Rate Bond UCITS ETF USD (Acc),IE00BDFGJ627,Bloomberg US Floating Rate Notes 1-5 Year,Japan,3.49
iShares USD Floating Rate Bond UCITS ETF USD (Acc),IE00BDFGJ627,Bloomberg US Floating Rate Notes 1-5 Year,United Kingdom,3.07
iShares USD Floating Rate Bond UCITS ETF,IE00BZ048462,Bloomberg US Floating Rate Notes 1-5 Year,Other,61.27
iShares USD Floating Rate Bond UCITS ETF,IE00BZ048462,Bloomberg US Floating Rate Notes 1-5 Year,United States,27.75
iShares USD Floating Rate Bond UCITS ETF,IE00BZ048462,Bloomberg US Floating Rate Notes 1-5 Year,Canada,4.42
iShares USD Floating Rate Bond UCITS ETF,IE00BZ048462,Bloomberg US Floating Rate Notes 1-5 Year,Japan,3.49
iShares USD Floating Rate Bond UCITS ETF,IE00BZ048462,Bloomberg US Floating Rate Notes 1-5 Year,United Kingdom,3.07
BNP Paribas Easy CAC 40 UCITS ETF,FR0010150458,CAC 40,France,92.41
BNP Paribas Easy CAC 40 UCITS ETF,FR0010150458,CAC 40,Netherlands,6.5
BNP Paribas Easy CAC 40 UCITS ETF,FR0010150458,CAC 40,Switzerland,1.09
BNP Paribas Easy CAC 40 UCITS ETF,FR0010150458,CAC 40,Other,0.0
Amundi CAC 40 UCITS ETF DR EUR (C),LU1681046931,CAC 40,France,84.68
Amundi CAC 40 UCITS ETF DR EUR (C),LU1681046931,CAC 40,Other,7.71
